taxon_no,Order,Family,taxon_name,ln_mass_g,mass_source,meas_element,length_mm,width_mm,meas_source,eq_type,mass_eq,eq_source,ln_mass_g_estimate,n_occs,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,life_habit,life_habit_basis,diet,diet_basis
47439,,Kermackiidae,Kermackia texana,,,,,,,,,,,3,122.46,109,113,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
155050,,Mozomuridae,Mozomus shikamai,,,m1,1.25,0.80,Chuankui et al 2005,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,1.81,1,122.46,109,122.46,109,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
49766,,Pappotheriidae,Pappotherium pattersoni,,,,,,,,,,,4,122.46,109,113,100.5,Aptian,Albian,,Pappotherium,insectivore,Pappotherium
212367,,Paurodontidae,Dorsetodon haysomi,,,m1,0.65,0.42,Ensom and Sigogneau-Russell 1998,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,-0.561963925,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
381653,,Pediomyidae,Unnuakomys hutchisoni,,,m1,1.26,0.74,Eberle et al 2019,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,2.81481034,1,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
103962,,Pediomyidae,Leptalestes krejcii,,,m1,1.49,0.96,Lillegraven 1969,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,3.482408436,23,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
168382,,Pediomyidae,Leptalestes toevsi,,,m1,1.70,0.98,Hunter et al 2010,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,3.720263848,1,70.6,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
50063,,Pediomyidae,Pediomys elegans,3.212,Smith et al 2018,m1,1.92,1.28,Kelly 2014,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,4.326729012,34,83.5,70.6,70.6,66,Campanian,Maastrichtian,ground dwelling,Pediomys,insectivore,Pediomys
103964,,Pediomyidae,Leptalestes cooki,,,m1,2.03,1.18,Kelly 2014,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,4.286738361,20,83.5,70.6,66,63.3,Campanian,Danian,,Metatheria,omnivore,Metatheria
47365,,Pediomyidae,Iqualadelphis lactea,,,,,,,,,,,4,86.3,83.6,83.5,70.6,Santonian,Maastrichtian,,Metatheria,omnivore,Metatheria
103963,,Pediomyidae,Leptalestes prokrejcii,,,,,,,,,,,5,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
426040,,Pediomyidae,Protolambda clemensi,,,,,,,,,,,6,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
426041,,Pediomyidae,Protolambda florencae,,,,,,,,,,,31,72.1,66,70.6,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
51058,,Pediomyidae,Protolambda hatcheri,,,,,,,,,,,38,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Metatheria,omnivore,Metatheria
348240,,Pediomyidae,Protolambda mcgilli,,,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,,Metatheria,omnivore,Metatheria
348242,,Periptychidae,Paleoungulatum hooleyi,,,m1,3.70,2.80,Kelly 2014,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,7.301335591,1,72.1,66,72.1,66,Maastrichtian,,ground dwelling,Periptychidae,herbivore,Periptychidae
46505,,Picopsidae,Falepetrus barwini,,,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
50354,,Picopsidae,Picopsis pattersoni,,,,,,,,,,,1,85.8,83.5,85.8,83.5,Santonian,Campanian,,Mammalia,insectivore,Mammaliaformes
214346,,Soricidae,Cretasorex arkhangelskyi,,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,ground dwelling,Soricidae,omnivore,Soricidae
106780,,Spalacotheriidae,Symmetrolestes parvus,,,m1,0.67,0.78,Tsubamoto et al 2004,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,0.669527429,1,130,113,130,113,Hauterivian,Aptian,,Mammalia,insectivore,Mammaliaformes
212335,,Spalacotheriidae,Spalacotherium evansae,,,m1,0.75,0.65,Ensom and Sigogneau-Russell 2000,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,0.556338999,4,145,140.2,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
216679,,Spalacotheriidae,Yaverlestes gassoni,,,m1,0.83,0.76,Sweetman 2008,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,0.972286096,3,129.4,125,129.4,125,Barremian,,,Mammalia,insectivore,Mammaliaformes
51673,,Spalacotheriidae,Spalacolestes cretulablatta,1.408,Smith et al 2018,m1,1.00,0.80,Cifelli and Madsen 1999,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,1.362722298,6,105.3,93.5,105.3,93.5,Albian,Turonian,,Mammalia,insectivore,Mammaliaformes
249188,,Spalacotheriidae,Infernolestes rougieri,,,m1,1.25,0.71,Cifelli et al 2012,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,1.531703479,1,145,136.4,145,136.4,Berriasian,Valanginian,,Mammalia,insectivore,Mammaliaformes
371282,,Spalacotheriidae,Lactodens sheni,,,m1,1.40,0.80,Han and Meng 2016,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,1.9104991,1,125,113,125,113,Aptian,,,Mammalia,insectivore,Mammaliaformes
66821,,Spalacotheriidae,Spalacotherium tricuspidens,,,m1,1.60,,Cifelli and Madsen 1986,"Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Van Valkenburgh 1990,3.048710561,3,145,140.2,140.2,136.4,Berriasian,Valanginian,,Mammalia,insectivore,Mammaliaformes
216665,,Spalacotheriidae,Heishanlestes changi,,,m1,1.62,1.13,Hu et al 2005a,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,2.710360077,1,125,100.5,125,100.5,Aptian,Albian,,Mammalia,insectivore,Mammaliaformes
51937,,Spalacotheriidae,Symmetrodontoides canadensis,2.463,Smith et al 2018,m1,1.80,0.60,Cifelli and Madsen 1986,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,1.851292575,2,86.3,83.6,85.8,83.5,Santonian,Campanian,,Mammalia,insectivore,Mammaliaformes
137605,,Spalacotheriidae,Akidolestes cifelli,,,,,,,,,,,1,129.4,125,129.4,125,Barremian,,ground dwelling,Akidolestes,insectivore,Mammaliaformes
212347,,Spalacotheriidae,Shalbaatar bakht,,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Mammalia,insectivore,Mammaliaformes
51674,,Spalacotheriidae,Spalacolestes inconcinnus,,,,,,,,,,,1,105.3,93.5,105.3,93.5,Albian,Turonian,,Mammalia,insectivore,Mammaliaformes
51675,,Spalacotheriidae,Spalacotheridium mckennai,,,,,,,,,,,2,93.9,89.8,86.3,83.6,Turonian,Santonian,,Mammalia,insectivore,Mammaliaformes
212345,,Spalacotheriidae,Spalacotherium henkeli,,,,,,,,,,,1,130,125.45,130,125.45,Hauterivian,Barremian,,Mammalia,insectivore,Mammaliaformes
216770,,Spalacotheriidae,Spalacotherium hookeri,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
206728,,Spalacotheriidae,Spalacotherium taylori,,,,,,,,,,,1,140.2,136.4,140.2,136.4,Berriasian,Valanginian,,Mammalia,insectivore,Mammaliaformes
51677,,Spalacotheriidae,Spalacotheroides bridwelli,,,,,,,,,,,1,113,100.5,113,100.5,Albian,,,Mammalia,insectivore,Mammaliaformes
51939,,Spalacotheriidae,Symmetrodontoides oligodontos,,,,,,,,,,,4,93.9,89.8,89.8,83.6,Turonian,Santonian,,Mammalia,insectivore,Mammaliaformes
51938,,Spalacotheriidae,Symmetrodontoides foxi,2.158,Smith et al 2018,,,,,,,,,6,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
51676,,Spalacotheriidae,Spalacotheridium noblei,0.967,Smith et al 2018,,,,,,,,,8,105.3,93.5,105.3,93.5,Albian,Turonian,,Mammalia,insectivore,Mammaliaformes
216468,,Stagodontidae,Pariadens mckennai,,,m1,2.65,1.64,Cifelli 2004,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,5.216039176,1,105.3,93.5,105.3,93.5,Albian,Turonian,,Stagodontidae,"carnivore, durophage",Stagodontidae
45707,,Stagodontidae,Didelphodon coyi,,,,,,,,,,,4,83.5,66,70.6,66,Campanian,Maastrichtian,aquatic,Didelphodon,durophage,Didelphodon
45977,,Stagodontidae,Ectoconodon montanensis,,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,aquatic,Didelphodon,durophage,Didelphodon
46139,,Stagodontidae,Eodelphis browni,,,,,,,,,,,2,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Stagodontidae,"carnivore, durophage",Stagodontidae
46140,,Stagodontidae,Eodelphis cutleri,,,,,,,,,,,4,83.5,70.6,70.6,66,Campanian,Maastrichtian,,Stagodontidae,"carnivore, durophage",Stagodontidae
370351,,Stagodontidae,Fumodelphodon pulveris,,,,,,,,,,,1,93.9,89.8,93.9,89.8,Turonian,,,Stagodontidae,"carnivore, durophage",Stagodontidae
370353,,Stagodontidae,Hoodootherium praeceps,,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Stagodontidae,"carnivore, durophage",Stagodontidae
45711,,Stagodontidae,Didelphodon vorax,6.635,Smith et al 2018,,,,,,,,,66,72.1,66,70.6,66,Maastrichtian,,aquatic,Didelphodon,durophage,Didelphodon
49997,,Stagodontidae,Pariadens kirklandi,4.22,Smith et al 2018,,,,,,,,,3,100.5,93.9,99.6,93.5,Cenomanian,Turonian,,Stagodontidae,"carnivore, durophage",Stagodontidae
56943,,Stylinodontidae,Schowalteria clemensi,,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,ground dwelling,Stylinodontidae,herbivore,Stylinodontidae
109645,,Sudamericidae,Bharattherium bonapartei,,,m1,2.66,2.00,Prasad et al 2007,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,4.863781725,1,72.1,66,72.1,66,Maastrichtian,,,Mammalia,insectivore,Mammaliaformes
216761,,Sudamericidae,Dakshina jederi,,,,,,,,,,,2,72.1,66,72.1,66,Maastrichtian,,,Mammalia,insectivore,Mammaliaformes
382701,,Sudamericidae,Galulatherium jenkinsi,,,,,,,,,,,1,100.5,72.1,100.5,72.1,Cenomanian,Campanian,,Mammalia,insectivore,Mammaliaformes
66687,,Sudamericidae,Gondwanatherium patagonicum,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
57603,,Sudamericidae,Lavanify miolaka,,,,,,,,,,,2,72.1,66,72.1,66,Maastrichtian,,,Mammalia,insectivore,Mammaliaformes
331045,,Sudamericidae,Vintana sertichi,9.1,Hoffman et al 2014,,,,,,,,,1,72.1,66,72.1,66,Maastrichtian,,,Mammalia,insectivore,Mammaliaformes
55377,,Thereuodontidae,Thereuodon dahmani,,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
212328,,Thereuodontidae,Thereuodon taraktes,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
212336,,Tinodontidae,Tinodon micron,,,,,,,,,,,1,145,140.2,145,140.2,Berriasian,,,Mammalia,insectivore,Mammaliaformes
141361,,Vincelestidae,Vincelestes neuquenianus,6.8,Hoffman et al 2014,,,,,,,,,1,129.4,122.46,129.4,122.46,Barremian,Aptian,ground dwelling,Vincelestes,insectivore,Mammaliaformes
137977,,Zalambdalestidae,Kulbeckia kulbecke,,,m1,1.70,2.60,Archibald and Averianov 2003,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,4.145435425,5,93.5,89.3,85.8,83.5,Turonian,Campanian,ground dwelling,Zalambdalestidae,insectivore,Zalambdalestidae
70459,,Zalambdalestidae,Zalambdalestes lechei,4.42,Hoffman et al 2014,m1,2.17,,Kielan-Jaworowska 1969,"Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Van Valkenburgh 1990,3.935456058,6,83.6,72.1,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Zalambdalestidae,insectivore,Zalambdalestidae
102838,,Zalambdalestidae,Zhangolestes jilinensis,,,m1,2.18,1.65,Zan et al 2006,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,3.810003068,1,125,93.9,125,93.9,Aptian,Cenomanian,ground dwelling,Zalambdalestidae,insectivore,Zalambdalestidae
57350,,Zalambdalestidae,Zalambdalestes grangeri,,,m1,2.31,1.91,Kielan-Jaworowska 1969,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,4.142523048,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Zalambdalestidae,insectivore,Zalambdalestidae
137750,,Zalambdalestidae,Alymlestes kielanae,,,m1,2.40,2.10,Averianov and Nessov 1995,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,4.359137102,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Zalambdalestidae,insectivore,Zalambdalestidae
371280,,Zalambdalestidae,Zofialestes longidens,,,m1,2.43,1.95,Fostowicz-Frelik 2016,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,4.258713186,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Zalambdalestidae,insectivore,Zalambdalestidae
57289,,Zalambdalestidae,Barunlestes butleri,,,,,,,,,,,4,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,ground dwelling,Zalambdalestidae,insectivore,Zalambdalestidae
197845,,Zhangheotheriidae,Maotherium sinensis,,,m1,0.90,1.60,Plogschties and Martin 2019,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,2.319638989,1,125.45,122.46,125.45,122.46,Barremian,Aptian,,Mammalia,insectivore,Mammaliaformes
65258,,Zhangheotheriidae,Zhangheotherium quinquecuspidens,,,m1,1.50,1.00,Hu et al 1997,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,2.386097196,2,129.4,122.46,129.4,122.46,Barremian,Aptian,ground dwelling,Zhangheotherium,insectivore,Mammaliaformes
156659,,Zhangheotheriidae,Maotherium asiaticus,4.35,Ji et al 2009,m1,1.70,1.80,Ji et al 2009,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,3.546779483,1,125.45,122.46,125.45,122.46,Barremian,Aptian,,Mammalia,insectivore,Mammaliaformes
371286,,Zhangheotheriidae,Anebodon luoi,,,,,,,,,,,1,125.45,122.46,125.45,122.46,Barremian,Aptian,,Mammalia,insectivore,Mammaliaformes
216648,,Zhangheotheriidae,Kiyatherium cardiodens,,,,,,,,,,,2,129.4,113,125,113,Barremian,Aptian,,Mammalia,insectivore,Mammaliaformes
137736,,Zhelestidae,Sheikhdzheilia rezvyii,,,m1,0.80,1.10,Averianov and Archibald 2005,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,3.563204609,2,99.6,93.5,99.6,93.5,Cenomanian,Turonian,scansorial,Eutheria,insectivore,Theria
137738,,Zhelestidae,Eozhelestes mangit,,,m1,1.10,1.50,Averianov and Archibald 2005,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,4.516175336,2,99.6,93.5,99.6,93.5,Cenomanian,Turonian,scansorial,Eutheria,insectivore,Theria
217349,,Zhelestidae,Borisodon kara,,,m1,2.13,1.63,Archibald and Averianov 2012,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,5.643968224,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
137972,,Zhelestidae,Aspanlestes aptap,,,m1,2.20,1.56,Archibald and Averianov 2012,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,5.626445063,6,93.5,89.3,93.5,86.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
331085,,Zhelestidae,Mistralestes arcensis,,,m1,2.30,1.38,Tabuce et al 2013,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,5.507968815,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
217348,,Zhelestidae,Parazhelestes mynbulakensis,,,m1,2.38,1.76,Archibald and Averianov 2012,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,5.928540074,3,93.5,89.3,86.3,70.6,Turonian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
203027,,Zhelestidae,Zhelestes temirkazyk,,,m1,2.44,1.75,Archibald and Averianov 2012,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,5.957646562,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
53173,,Zhelestidae,Lainodon orueetxebarriai,,,m1,2.80,1.75,Gheerbrant and Astibia 1994,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,6.166280571,3,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
64795,,Zhelestidae,Valentinella vitrollense,,,m1,4.04,2.80,Tabuce et al 2013,"Ungulates, m1_area",ln(m) = 3.757 + 1.516 * ln(m1_area),Mendoza et al 2006,7.434609989,1,70.6,66,70.6,66,Maastrichtian,,scansorial,Eutheria,insectivore,Theria
434778,,Zhelestidae,Azilestes ragei,,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,scansorial,Eutheria,insectivore,Theria
46581,,Zhelestidae,Gallolestes agujaensis,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
196152,,Zhelestidae,Labes garimondi,,,,,,,,,,,2,83.6,72.1,83.5,66,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
196150,,Zhelestidae,Labes quintanillensis,,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,scansorial,Eutheria,insectivore,Theria
255645,,Zhelestidae,Lainodon ragei,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
213953,,Zhelestidae,Ortalestes tostak,,,,,,,,,,,1,93.5,89.3,93.5,89.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
137740,,Zhelestidae,Oxlestes grandis,,,,,,,,,,,1,99.6,93.5,99.6,93.5,Cenomanian,Turonian,scansorial,Eutheria,insectivore,Theria
213245,,Zhelestidae,Parazhelestes robustus,,,,,,,,,,,2,93.5,89.3,93.5,86.3,Turonian,Coniacian,scansorial,Eutheria,insectivore,Theria
213249,,Zhelestidae,Sorlestes mifunensis,,,,,,,,,,,1,99.6,89.3,99.6,89.3,Cenomanian,Coniacian,scansorial,Eutheria,insectivore,Theria
249249,,Zhelestidae,Zhalmouzia bazhanovi,,,,,,,,,,,1,86.3,70.6,86.3,70.6,Santonian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
46582,,Zhelestidae,Gallolestes pachymandibularis,4.259,Smith et al 2018,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
43912,,Zhelestidae,Alostera saskatchewanensis,3.935,Smith et al 2018,,,,,,,,,4,83.5,70.6,70.6,66,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
44395,,Zhelestidae,Avitotherium utahensis,3.493,Smith et al 2018,,,,,,,,,3,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,scansorial,Eutheria,insectivore,Theria
44482,Cimolesta,Cimolestidae,Batodon tenuis,,,m1,1.30,0.75,Wood and Clemens 2001,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,1.684782609,13,70.6,66,70.6,66,Maastrichtian,,,Batodon tenuis,insectivore,Batodon tenuis
143918,Cimolesta,Cimolestidae,Maelestes gobiensis,,,m1,1.85,1.35,Wible et al 2009,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,3.216092497,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Cimolestidae,insectivore,Cimolestidae
331297,Cimolesta,Cimolestidae,Scollardius propalaeoryctes,,,m1,2.45,1.60,Lillegraven 1969,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,3.949997212,3,70.6,66,70.6,66,Maastrichtian,,,Scollardius propalaeoryctes,insectivore,Scollardius propalaeoryctes
331295,Cimolesta,Cimolestidae,Ambilestes cerberoides,,,m1,3.27,2.07,Lillegraven 1969,"Insectivores, m1_area",ln(m) = 1.726 + 1.628 * ln(m1_area),Bloch et al 1998,4.839287228,8,70.6,66,66,63.3,Maastrichtian,Danian,,Cimolestidae,insectivore,Cimolestidae
45120,Cimolesta,Cimolestidae,Cimolestes stirtoni,,,,,,,,,,,7,70.6,66,70.6,66,Maastrichtian,,,Cimolestes,"carnivore, insectivore",Cimolestes
52109,Cimolesta,Cimolestidae,Telacodon laevis,,,,,,,,,,,1,70.6,66,70.6,66,Maastrichtian,,,Cimolestidae,insectivore,Cimolestidae
45115,Cimolesta,Cimolestidae,Cimolestes incisus,5.467,Smith et al 2018,,,,,,,,,15,70.6,66,59.2,56,Maastrichtian,Paleocene,,Cimolestes incisus,insectivore,Cimolestes incisus
45567,Cimolesta,Palaeoryctidae,Delphodon comptus,,,,,,,,,,,5,70.6,66,70.6,66,Maastrichtian,,scansorial,Palaeoryctidae,insectivore,Palaeoryctidae
331293,Creodonta,,Altacreodus magnus,,,m1,5.09,3.34,Lillegraven 1969,"Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Van Valkenburgh 1990,6.416378487,10,72.1,66,70.6,66,Maastrichtian,,,Altacreodus magnus,carnivore,Altacreodus magnus
70457,Deltatheroida,,Deltatheroides cretacicus,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Deltatheroides,carnivore,Deltatheroides
137970,Deltatheroida,Deltatheridiidae,Sulestes karakshi,,,m1,1.80,1.10,Averianov et al 2010,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,3.989631078,9,93.5,89.3,93.5,89.3,Turonian,Coniacian,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
319138,Deltatheroida,Deltatheridiidae,Lotheridium mengi,,,m1,3.34,1.80,Bi et al 2015,"Marsupials, m1_area",ln(m) = 2.924 + 1.56 * ln(m1_area),Gordon 2003,5.722261656,1,70.6,66,70.6,66,Maastrichtian,,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
44378,Deltatheroida,Deltatheridiidae,Atokatheridium boreni,,,,,,,,,,,1,122.46,109,122.46,109,Aptian,Albian,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
137745,Deltatheroida,Deltatheridiidae,Deltatheridium nessovi,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Deltatheridium,carnivore,Deltatheridium
70456,Deltatheroida,Deltatheridiidae,Deltatheridium pretrituberculare,,,,,,,,,,,6,83.6,72.1,83.5,70.6,Campanian,Maastrichtian,,Deltatheridium,carnivore,Deltatheridium
203464,Deltatheroida,Deltatheridiidae,Hydotherium dobsoni,,,,,,,,,,,1,83.5,70.6,83.5,70.6,Campanian,Maastrichtian,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
109639,Deltatheroida,Deltatheridiidae,Nanocuris improvida,,,,,,,,,,,2,72.1,66,70.6,66,Maastrichtian,,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
204005,Deltatheroida,Deltatheridiidae,Oklatheridium minax,,,,,,,,,,,2,122.46,109,113,100.5,Aptian,Albian,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
204004,Deltatheroida,Deltatheridiidae,Oklatheridium szalayi,,,,,,,,,,,2,122.46,109,113,100.5,Aptian,Albian,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
319847,Deltatheroida,Deltatheridiidae,Oklatheridium wiblei,,,,,,,,,,,2,125,100.5,113,100.5,Aptian,Albian,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
319140,Deltatheroida,Deltatheridiidae,Tsagandelta dashzevegi,,,,,,,,,,,1,100.5,83.6,100.5,83.6,Cenomanian,Santonian,,Deltatheridiidae,"carnivore, durophage",Deltatheridiidae
242244,Dryolestida,,Crusafontia amoae,,,,,,,,,,,2,136.4,130,130,125.45,Valanginian,Barremian,,Mammalia,insectivore,Mammaliaformes
206747,Dryolestida,,Crusafontia cuencana,,,,,,,,,,,2,130,125.45,130,125.45,Hauterivian,Barremian,,Mammalia,insectivore,Mammaliaformes
397995,Dryolestida,,Paraungulatum rectangularis,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
397993,Dryolestida,Casamiquelidae,Alamitherium bishopi,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
207624,Dryolestida,Casamiquelidae,Casamiquelia rionegrina,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
397991,Dryolestida,Casamiquelidae,Rougietherium tricuspes,,,,,,,,,,,1,83.5,66,83.5,66,Campanian,Maastrichtian,,Mammalia,insectivore,Mammaliaformes
212378,Dryolestida,Donodontidae,Donodon prescriptoris,,,,,,,,,,,1,145,139.8,145,139.8,Berriasian,,,Mammalia,insectivore,Mammaliaformes
106806,Eutriconodonta,,Hakusanodon archaeus,,,m1,1.75,0.80,Rougier et al 2007,"Mammals, m1_area",ln(m) = 1.81 + 1.827 * ln(m1_area),Legendre 1986,2.424734776,1,139.8,132.9,139.8,132.9,Valanginian,,,Mammalia,insectivore,Mammaliaformes
239722,Eutriconodonta,,Liaoconodon hui,,,m1,2.81,,Meng et al 2011,"Carnivores, m1_length",ln(m) = 1.681 + 2.97 * ln(m1_length),Van Valkenburgh 1990,4.687566847,1,125,113,125,113,Aptian,,,Mammalia,insectivore,Mammaliaformes
289799,Eutriconodonta,,Chaoyangodens lii,,,,,,,,,,,1,129.4,125,129.4,125,Barremian,,,Mammalia,insectivore,Mammaliaformes
