Order,Family,Genus_species,FAD,LAD,lnMass_g,PBDB life habit,PBDB_diet,taxon rank at which diet assignment was made,Recoded_Diet,Recoded_groups
Artiodactyla,NA,Heteroprox aralensis,NA,NA,10.49057768,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Metacervulus capreolinus,1.6845,1.3,10.5504449,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Antidorcas australis,1.6845,1.3,10.59189143,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Oioceros rothi,7.498,3.96,10.71392844,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Palaeoreas lindermayeri,9.427,3.96,10.71392844,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Protoryx enanus,13.789,13.789,10.71392844,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Prostrepsiceros houtumschindleri,6.289,6.289,10.73695429,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
NA,NA,Palaeoreas asiaticus,NA,NA,10.73695429,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Procapreolus ukrainicus,NA,NA,10.77840082,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Sivaceros gradiens,13.789,8.47,10.79912409,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Maremmia hauptii,7.016,7.016,10.81984735,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Pseudotragus capricornis,9.427,6.073,10.81984735,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,NA,Amphiprox anocerus,10.4,8.225,10.81984735,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Euprox furcatus,14.181,11.925,10.81984735,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Hypsodontus serbicus,NA,NA,10.81984735,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Pseudotragus parvidens,7.498,7.498,10.84057062,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Gazella lydekkeri,13.789,8.47,10.84978096,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Gobiocerus mongolicus,NA,NA,10.89583266,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Protragocerus chantrei,11.925,10.4,10.91425334,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Sivoreas eremita,12.629,12.629,10.99944899,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Protragocerus gluten,13.789,12.375,10.99944899,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Mesembriacerus melentisi,8.47,8.47,11.00175157,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Oioceros wegneri,8.47,8.47,11.00175157,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Prostrepsiceros libycus,NA,NA,11.00175157,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Procapreolus loczyi,NA,NA,11.00175157,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Damalavus boroccoi,8.47,8.47,11.08234205,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Protragelaphus skouzesi,9.427,3.96,11.08234205,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Cervavitus variabilis,9.427,3.96,11.08234205,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Euprox dicranoceros,10.154,10.154,11.08234205,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Prostrepsiceros fraasi,NA,NA,11.15602478,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Urmiatherium rugosifrons,NA,NA,11.15602478,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Palaeoreas zouavei,NA,NA,11.22510233,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Protragelaphus theodori,NA,NA,11.22510233,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,NA,Pliocervus pentelici,7.498,3.96,11.28957471,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Protoryx solignaci,8.47,8.47,11.28957471,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Cervavitus sarmaticus,8.47,8.47,11.28957471,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Tragoportax gaudryi,9.2,9.2,11.28957471,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Cervavitus novorossiae,9.427,5.723,11.28957471,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Miotragocerus pannoniae,10.4,8.225,11.28957471,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Protoryx crassicornis,9.427,6.289,11.34944192,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
NA,NA,Pachytragus crassicornis,NA,NA,11.34944192,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Miotragocerus monacensis,11.925,10.4,11.40700655,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Tragoportax validus,9.427,9.427,11.51292546,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Procamptoceras brivatense,3.96,2.197,11.58891077,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Tragoportax frolovi,9.427,9.427,11.60733145,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Kobus sigmoidalis,3.96,1.2935,11.63496247,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Pachytragus laticeps,8.47,6.073,11.65338316,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Tragoportax amalthea,9.427,3.96,11.75239431,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Tragoportax spectabilis,9.427,9.427,11.77542017,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Gallogoral meneghinii,2.672,2.197,11.82147187,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Tragoportax rugosifrons,9.427,6.289,11.82147187,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Hypsodontus pronaticornis,14.81,13.2,11.87673391,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Leptobos merlai,NA,NA,11.88133908,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Leptobos stenometopon,3.96,2.197,11.89054942,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Gazellospira torticornis,3.96,1.6845,11.89745718,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Perissodactyla,Equidae,Hippotherium microdon,NA,NA,11.94581146,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Procobus melania,9.427,9.427,11.98265282,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Protoryx carolinae,14.81,3.96,11.98265282,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Palaeoryx longicephalus,NA,NA,12.04252004,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Plesiaddax inundatus,NA,NA,12.04252004,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Samokeros minotaurus,NA,NA,12.08857174,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Tragoportax cyrenaicus,9.427,4.917,12.10008466,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Selenoportax vexillarius,8.47,8.47,12.19909582,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Palaeoryx pallasi,9.427,2.588,12.20600358,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Criotherium argalioides,9.427,8.47,12.20600358,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
NA,NA,Protohippus gidley,NA,NA,12.22672684,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Praemegaceros verticornis,1.357,0.4535,12.26817338,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Urmiatherium polaki,NA,NA,12.30040957,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Perissodactyla,Equidae,Hippotherium sumegense,10.4,10.4,12.34646127,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Perissodactyla,Equidae,Hippotherium brachypus,7.498,3.96,12.35797419,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Megaloceros savini,0.4535,0.4535,12.39711814,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Eucladoceros tetraceros,1.6845,1.6845,12.40632848,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Eucladoceros ctenoides,2.672,1.606,12.44086726,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Eucladoceros dicranios,3.96,2.197,12.44086726,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Perissodactyla,Equidae,Hippotherium giganteum,NA,NA,12.44086726,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Hemibos gracilis,NA,NA,12.4961293,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
NA,NA,Leptobos brevicornis,NA,NA,12.62507406,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Capridae,Ovibos pallantis,0.069,0.069,12.65500767,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Leptobos vallisarni,1.6845,1.6845,12.84151706,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Leptobos etruscus,2.672,1.3,12.89908169,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Canthumerycidae,Injanatherium arabicum,NA,NA,12.89908169,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Cervidae,Libralces gallicus,3.96,1.6845,12.9290153,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Spirocerus wongi,NA,NA,13.12243244,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Canthumerycidae,Injanatherium hazimi,NA,NA,13.12243244,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
NA,NA,Spirocerus kiakhtensis,NA,NA,13.58064688,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
NA,NA,Hemibos galerianus,NA,NA,13.75334076,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Bos primigenius,1.6845,0.006,13.86386484,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Artiodactyla,Bovidae,Simatherium demissum,12.809,3.96,14.50168092,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Proboscidea,Elephantidae,Stegodon orientalis,12.809,0.069,14.50858867,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Proboscidea,Deinotheriidae,Deinotherium gigantium,9.427,4.466,16.67485021,ground dwelling,"grazer, browser",genus,herbivore,herbivore guild
Multituberculata,NA,Janumys erebros,98.4,98.4,1.791759469,arboreal,herbivore,genus,herbivore,herbivore guild
NA,NA,Pseudadjidaumo douglassi,NA,NA,1.99,ground dwelling,herbivore,genus,herbivore,herbivore guild
NA,NA,Miosicista angulatus,NA,NA,2.098,ground dwelling,herbivore,genus,herbivore,herbivore guild
NA,NA,Calomys lindsayi,NA,NA,2.64,ground dwelling,herbivore,genus,herbivore,herbivore guild
NA,NA,Calomys hershkovitzi,NA,NA,2.93,ground dwelling,herbivore,genus,herbivore,herbivore guild
NA,NA,Plesiosminthus cartomylos,NA,NA,3.04,ground dwelling,herbivore,genus,herbivore,herbivore guild
Cimolodonta,NA,Cedaromys hutchisoni,81.35,81.35,3.496507561,arboreal,herbivore,genus,herbivore,herbivore guild
NA,NA,Leidymys montanus,NA,NA,4.39,ground dwelling,herbivore,genus,herbivore,herbivore guild
NA,NA,Ophiomys panacaensis,NA,NA,4.46,ground dwelling,herbivore,genus,herbivore,herbivore guild
NA,NA,Pitymys mcknowni,NA,NA,4.745,ground dwelling,herbivore,genus,herbivore,herbivore guild
Artiodactyla,Merycoidodontidae,Merycoidodon culbertsoni,37.6,32.75,10.61452527,ground dwelling,herbivore,genus,herbivore,herbivore guild
NA,NA,Ectoganus gliriformes,55.2,53.4,11.23903449,ground dwelling,herbivore,genus,herbivore,herbivore guild
NA,NA,Agriotherium inexpectans,NA,NA,13.22835136,scansorial,herbivore,genus,herbivore,herbivore guild
Rodentia,Geomyidae,Progeomys sulcatus,8.1,8.1,1.722356187,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Pliogeomys parvus,3.9,3.75,2.3345,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Pliogeomys russelli,10.45,10.45,2.7175,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Pliosaccomys higginsensis,9.25,9.25,2.903,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Phelosaccomys neomexicanus,13.1,13.1,2.992,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Phelosaccomys shotwelli,12.65,12.65,3.017,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Mojavemys wilsoni,12.5,12.5,3.089,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Parapliosaccomys oregonensis,9.7,9.45,3.189,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Pliosaccomys dubius,11.8,10.85,3.3225,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Mojavemys galushai,13.1,13.1,3.3435,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Thomomys carsonensis,2.9,2.9,3.372,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Gregorymys larsoni,18.6,18.6,3.55,fossorial,browser,species,herbivore,Rodentia
NA,NA,Geomys minor,NA,NA,3.586,fossorial,browser,species,herbivore,herbivore guild
Rodentia,Geomyidae,Thomomys gidleyi,5.25,0.9,3.6215,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Tenudomys bodei,29.9,29.9,3.7715,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Gregorymys riograndensis,21.05,21.05,3.781,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Parapliosaccomys transversus,14.8,14.7,3.819,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Entoptychus leptophrys,21.2,21.2,3.982,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Geomys jacobi,3.5,3.5,4.01319373,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Mojavemys magnumarcus,14.8,14.7,4.0285,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Entoptychus grandiplanus,23.9,22.15,4.09,fossorial,browser,species,herbivore,Rodentia
NA,NA,Entoptychus minor,NA,NA,4.127,fossorial,browser,species,herbivore,herbivore guild
Rodentia,Geomyidae,Thomomys potomacensis,1.3,0.4,4.14,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Geomys bursarius,1.3,0.01163,4.1775,fossorial,browser,species,herbivore,Rodentia
NA,NA,Entoptychus cavifrons,NA,NA,4.255,fossorial,browser,species,herbivore,herbivore guild
Rodentia,Geomyidae,Entoptychus fieldsi,24.1,24.1,4.2995,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Gregorymys formosus,24.35,21.3,4.3545,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Tenudomys macdonaldi,24.4,24.4,4.378,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Entoptychus sheppardi,22.65,22.65,4.5505,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Gregorymys curtus,23.25,21.25,4.67,fossorial,browser,species,herbivore,Rodentia
Rodentia,Geomyidae,Entoptychus planifrons,24.3,24.3,4.906,fossorial,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Temperocastor valentinensis,13.1,12.9,5.45757617,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Monosaulax curtus,16.5,13,5.45757617,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Euhapsis breugerorum,22.6,22.6,5.7385,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Monosaulax typicus,14.7,14.7,5.91,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Fossorcastor brachyceps,23.65,23.25,5.9315,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Monosaulax progressus,13.8,13.8,6.06,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Euroxenomys inconnexus,15.85,15.85,6.1005,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Fossorcastor greeni,22.6,22.6,6.248,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Agnotocastor galushai,35.65,35.65,6.267,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Agnotocastor readingi,33.4,33.4,6.372,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Nothodipoides planus,12.8,11.7,6.49,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Migmacastor procumbodens,22.615,22.615,6.51,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Eucastor tortus,15.9,10.55,6.6035,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Dipoides smithi,9.7,9.7,6.667248021,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Monosaulax skinneri,16.4,12.3,6.72,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Dipoides vallicula,11.5,7.65,6.748,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Prodipoides burgensis,12.9,12.25,6.767729526,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Monosaulax pansus,14,11.9,6.93,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Dipoides wilsoni,10.65,4.95,6.9685,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Agnotocastor coloradensis,33.3,25.15,7.052,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Prodipoides dividerus,13,11.9,7.213954928,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Dipoides williamsi,11.1,6.05,7.2415,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Dipoides stirtoni,11.4,7.75,7.506221893,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Dipoides tanneri,11.75,11.75,7.582,amphibious,browser,species,herbivore,Rodentia
Artiodactyla,Protoceratidae,Leptoreodon pusillus,46.85,40.1,7.781962818,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Fouchia elyensis,49.75,49.75,7.799,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Brontotheriidae,Protitanotherium superbum,41.4,41.4,7.887307993,ground dwelling,browser,species,herbivore,herbivore guild
Rodentia,Castoridae,Dipoides stovalli,0.85,0.85,8.098201926,amphibious,browser,species,herbivore,Rodentia
Artiodactyla,Protoceratidae,Leptotragulus clarki,41.55,41.15,8.149,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Leptoreodon leptolophus,44.65,40,8.424778609,ground dwelling,browser,species,herbivore,herbivore guild
Rodentia,Castoridae,Dipoides rexroadensis,4.5,3,8.454969602,amphibious,browser,species,herbivore,Rodentia
Artiodactyla,Oromerycidae,Malaquiferus tourteloti,43.15,41.95,8.505402284,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Selenaletes scopaeus,52.1,52.1,8.518,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Leptoreodon edwardsi,43.55,40.9,8.621168139,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Leptotragulus medius,43.15,41.15,8.664609092,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Leptoreodon marshi,46.85,41.55,8.735511267,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Tapiridae,Heteraletes leotanus,43.05,40.25,8.778182831,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Leptoreodon stocki,41.05,39.75,8.828587054,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Sifrhippus grangeri,55.7,52.6,8.845,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Oromerycidae,Protylopus petersoni,45.15,40.35,8.852527149,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Equidae,Xenicohippus grangeri,55.65,52.7,8.866,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Oromerycidae,Protylopus stocki,42.85,40,8.868053857,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Pseudoprotoceras minor,38.35,35.5,8.888996575,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Oromerycidae,Oromeryx plicatus,47.95,41.55,8.921,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Tapiridae,Dilophodon minusculus,49.25,45.15,9.026,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Leptotragulus proavus,44.75,41.55,9.099,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Poabromylus golzi,41.95,41.8,9.142,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Equidae,Mesohippus texanus,38.45,36.6,9.193066782,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Equidae,Orohippus sylvaticus,47.85,45.15,9.195316179,ground dwelling,browser,species,herbivore,herbivore guild
Rodentia,Castoridae,Hystricops venustus,11.75,11.75,9.2835,amphibious,browser,species,herbivore,Rodentia
Perissodactyla,NA,Homogalax aureus,53.6,53.6,9.325,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Leptoreodon major,45.65,43.55,9.337304923,ground dwelling,browser,species,herbivore,herbivore guild
Rodentia,Castoridae,Castor canadensis,3.65,0.006,9.3425,amphibious,browser,species,herbivore,Rodentia
Artiodactyla,Protoceratidae,Toromeryx marginensis,43.3,42.7,9.348,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Cardiolophus radinskyi,55.7,54.25,9.349233047,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Equidae,Xenicohippus craspedotum,53.4875,47.55,9.36,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Cardiolophus semihians,54.2,53.3,9.395,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Homogalax protapirinus,55.8,52.9,9.395,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Oromerycidae,Protylopus robustus,40.75,40.5,9.410701616,ground dwelling,browser,species,herbivore,herbivore guild
NA,Equidae,Duchesnehippus intermedius,39.35,38.9,9.43,ground dwelling,browser,species,herbivore,herbivore guild
Rodentia,Castoridae,Procastoroides intermedius,4.5,3.9,9.469,amphibious,browser,species,herbivore,Rodentia
Rodentia,Castoridae,Castor californicus,10.65,0.4,9.47,amphibious,browser,species,herbivore,Rodentia
NA,NA,Castor accessor,NA,NA,9.47,amphibious,browser,species,herbivore,herbivore guild
Artiodactyla,Oromerycidae,Protylopus annectens,41.55,41.55,9.470286515,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Pseudoprotoceras longinaris,37.5,35.35,9.530282583,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Equidae,Haplohippus texanus,39.6,38.35,9.532,ground dwelling,browser,species,herbivore,herbivore guild
NA,NA,Systemodon cristatus,NA,NA,9.532,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Palaeomerycidae,Lagomeryx ruetimeyeri,17.985,16.435,9.615595348,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Poabromylus kayi,39.15,38.35,9.643087334,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Heptodon calciculus,53.8,50.9375,9.652,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Isectolophidae,Systemodon tapirinus,52.85,52.85,9.659220954,ground dwelling,browser,species,herbivore,herbivore guild
NA,NA,Helaletes nanus,NA,NA,9.688,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Moschidae,Parablastomeryx galushi,17.375,17.375,9.692943908,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Toxotherium hunteri,38.35,36.25,9.726,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Brontotheriidae,Lambdotherium popoagicum,53.7,50.9375,9.726,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Oromerycidae,Protylopus pearsonensis,40.1,39.75,9.746314413,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Heteromeryx dispar,38.45,36.35,9.807197264,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Antilocapridae,Texoceros altidens,10.65,8.1,9.894248974,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Hyracodontidae,Triplopus cubitalis,45.15,45.15,9.991543258,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Equidae,Archaeohippus blackbergi,21.7,17.375,10.07201532,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,NA,Isectolophus latidens,49.75,46.15,10.08701808,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Tapiridae,Colodon woodi,45.25,41.8,10.10510789,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Equidae,Epihippus gracilis,49.25,39.6,10.14289987,ground dwelling,browser,species,herbivore,herbivore guild
Perissodactyla,Equidae,Archaeohippus ultimus,16.85,15.7,10.156,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Protoceratidae,Paratoceras wardi,19.7,15.85,10.18433387,ground dwelling,browser,species,herbivore,herbivore guild
Artiodactyla,Oromerycidae,Eotylopus reedi,38.05,35.65,10.19390691,ground dwelling,browser,species,herbivore,herbivore guild
Rodentia,Castoridae,Anchitheriomys fluminis,14.5,13,10.217,amphibious,browser,species,herbivore,Rodentia
